Bonus RivalContext{race=demo_monza, lapNumber=1, driver=LEC, position=1, ahead=NONE, behind=PIA, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=1, driver=PIA, position=2, ahead=LEC, behind=NOR, gapToCarAheadMs=900}
Bonus RivalContext{race=demo_monza, lapNumber=1, driver=NOR, position=3, ahead=PIA, behind=VER, gapToCarAheadMs=1300}
Bonus RivalContext{race=demo_monza, lapNumber=1, driver=VER, position=4, ahead=NOR, behind=NONE, gapToCarAheadMs=1700}
Bonus RivalContext{race=demo_monza, lapNumber=2, driver=LEC, position=1, ahead=NONE, behind=PIA, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=2, driver=PIA, position=2, ahead=LEC, behind=VER, gapToCarAheadMs=700}
Bonus RivalContext{race=demo_monza, lapNumber=2, driver=VER, position=3, ahead=PIA, behind=NOR, gapToCarAheadMs=1100}
Bonus RivalContext{race=demo_monza, lapNumber=2, driver=NOR, position=4, ahead=VER, behind=NONE, gapToCarAheadMs=900}
Bonus RivalContext{race=demo_monza, lapNumber=3, driver=LEC, position=1, ahead=NONE, behind=PIA, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=3, driver=PIA, position=2, ahead=LEC, behind=VER, gapToCarAheadMs=1200}
Bonus RivalContext{race=demo_monza, lapNumber=3, driver=VER, position=3, ahead=PIA, behind=NOR, gapToCarAheadMs=800}
Bonus RivalContext{race=demo_monza, lapNumber=3, driver=NOR, position=4, ahead=VER, behind=NONE, gapToCarAheadMs=1000}
Bonus RivalContext{race=demo_monza, lapNumber=4, driver=PIA, position=1, ahead=NONE, behind=LEC, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=4, driver=LEC, position=2, ahead=PIA, behind=VER, gapToCarAheadMs=800}
Bonus RivalContext{race=demo_monza, lapNumber=4, driver=VER, position=3, ahead=LEC, behind=NOR, gapToCarAheadMs=1500}
Bonus RivalContext{race=demo_monza, lapNumber=4, driver=NOR, position=4, ahead=VER, behind=NONE, gapToCarAheadMs=1100}
Bonus RivalContext{race=demo_monza, lapNumber=5, driver=PIA, position=1, ahead=NONE, behind=LEC, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=5, driver=LEC, position=2, ahead=PIA, behind=VER, gapToCarAheadMs=1000}
Bonus RivalContext{race=demo_monza, lapNumber=5, driver=VER, position=3, ahead=LEC, behind=NOR, gapToCarAheadMs=700}
Bonus RivalContext{race=demo_monza, lapNumber=5, driver=NOR, position=4, ahead=VER, behind=NONE, gapToCarAheadMs=1200}
Bonus RivalContext{race=demo_monza, lapNumber=6, driver=PIA, position=1, ahead=NONE, behind=VER, gapToCarAheadMs=0}
Bonus RivalContext{race=demo_monza, lapNumber=6, driver=VER, position=2, ahead=PIA, behind=LEC, gapToCarAheadMs=900}
Bonus RivalContext{race=demo_monza, lapNumber=6, driver=LEC, position=3, ahead=VER, behind=NOR, gapToCarAheadMs=600}
Bonus RivalContext{race=demo_monza, lapNumber=6, driver=NOR, position=4, ahead=LEC, behind=NONE, gapToCarAheadMs=1400}
