Q8 LapTimeAverage{race=demo_monza, driver=LEC, windowStartMs=-120000, windowEndMs=120000, eventCount=1, averageLapTimeMs=82000.00}
Q8 LapTimeAverage{race=demo_monza, driver=PIA, windowStartMs=-120000, windowEndMs=120000, eventCount=1, averageLapTimeMs=82300.00}
Q8 LapTimeAverage{race=demo_monza, driver=VER, windowStartMs=-120000, windowEndMs=120000, eventCount=1, averageLapTimeMs=82800.00}
Q8 LapTimeAverage{race=demo_monza, driver=NOR, windowStartMs=-120000, windowEndMs=120000, eventCount=1, averageLapTimeMs=82600.00}
Q8 LapTimeAverage{race=demo_monza, driver=LEC, windowStartMs=0, windowEndMs=240000, eventCount=3, averageLapTimeMs=82266.67}
Q8 LapTimeAverage{race=demo_monza, driver=NOR, windowStartMs=0, windowEndMs=240000, eventCount=3, averageLapTimeMs=82500.00}
Q8 LapTimeAverage{race=demo_monza, driver=PIA, windowStartMs=0, windowEndMs=240000, eventCount=3, averageLapTimeMs=82300.00}
Q8 LapTimeAverage{race=demo_monza, driver=VER, windowStartMs=0, windowEndMs=240000, eventCount=3, averageLapTimeMs=82366.67}
Q8 LapTimeAverage{race=demo_monza, driver=LEC, windowStartMs=120000, windowEndMs=360000, eventCount=4, averageLapTimeMs=83250.00}
Q8 LapTimeAverage{race=demo_monza, driver=PIA, windowStartMs=120000, windowEndMs=360000, eventCount=4, averageLapTimeMs=82700.00}
Q8 LapTimeAverage{race=demo_monza, driver=VER, windowStartMs=120000, windowEndMs=360000, eventCount=4, averageLapTimeMs=82700.00}
Q8 LapTimeAverage{race=demo_monza, driver=NOR, windowStartMs=120000, windowEndMs=360000, eventCount=4, averageLapTimeMs=82475.00}
Q8 LapTimeAverage{race=demo_monza, driver=NOR, windowStartMs=240000, windowEndMs=480000, eventCount=3, averageLapTimeMs=82400.00}
Q8 LapTimeAverage{race=demo_monza, driver=PIA, windowStartMs=240000, windowEndMs=480000, eventCount=3, averageLapTimeMs=83133.33}
Q8 LapTimeAverage{race=demo_monza, driver=VER, windowStartMs=240000, windowEndMs=480000, eventCount=3, averageLapTimeMs=82833.33}
Q8 LapTimeAverage{race=demo_monza, driver=LEC, windowStartMs=240000, windowEndMs=480000, eventCount=3, averageLapTimeMs=84033.33}
Q8 LapTimeAverage{race=demo_monza, driver=LEC, windowStartMs=360000, windowEndMs=600000, eventCount=1, averageLapTimeMs=83900.00}
Q8 LapTimeAverage{race=demo_monza, driver=VER, windowStartMs=360000, windowEndMs=600000, eventCount=1, averageLapTimeMs=82000.00}
Q8 LapTimeAverage{race=demo_monza, driver=PIA, windowStartMs=360000, windowEndMs=600000, eventCount=1, averageLapTimeMs=83200.00}
Q8 LapTimeAverage{race=demo_monza, driver=NOR, windowStartMs=360000, windowEndMs=600000, eventCount=1, averageLapTimeMs=82200.00}
