position,tyreLife,trackTemp,airTemp,humidity,rainfall,speedTrap,gapAhead,gapBehind,lapTime,pitLoss,_source_year,hasGapAhead,hasGapBehind,positions_lost,gap_to_physical_car,has_drop_zone_data,pace_drop_ratio,tire_life_ratio,pace_trend,gapAhead_trend,team_Alfa Romeo,team_AlphaTauri,team_Alpine,team_Aston Martin,team_Ferrari,team_Haas F1 Team,team_Kick Sauber,team_McLaren,team_Mercedes,team_RB,team_Racing Bulls,team_Red Bull Racing,team_Williams,team_nan,target_y
11,2,29.0,23.8,26,0,301.0,0.437,0.149,100.548,22.0,2022,1,1,0,999.0,0,1.0,0.1111111111111111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,3,29.0,23.8,27,0,302.0,0.853,0.10300000000000001,100.664,22.0,2022,1,1,0,999.0,0,1.001153677845407,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,4,28.7,23.8,29,0,303.0,1.77,0.065,101.126,22.0,2022,1,1,0,999.0,0,1.0057484982297014,0.2222222222222222,0.00574849822970136,1.333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,5,28.5,23.8,33,0,304.0,2.005,0.04,102.303,22.0,2022,1,1,0,999.0,0,1.017454350161117,0.2777777777777778,0.016300672315709974,1.152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,6,28.3,23.6,34,0,301.0,3.102,0.853,101.708,22.0,2022,1,1,0,999.0,0,1.0115367784540716,0.3333333333333333,0.005788280224370279,1.3319999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,7,28.3,23.6,34,0,304.0,3.909,1.127,101.561,22.0,2022,1,1,0,999.0,0,1.0100747901499783,0.3888888888888889,-0.007379560011138819,1.904,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,8,28.1,23.5,35,0,295.0,2.618,3.437,103.097,22.0,2022,1,1,8,18.284,1,1.0253510761029556,0.4444444444444444,0.013814297648883977,-0.484,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,9,28.0,23.4,36,0,318.0,4.181,3.328,102.149,22.0,2022,1,1,8,17.686999999999998,1,1.0159227433663525,0.5,0.005847953216374213,0.27200000000000024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,10,28.0,23.3,36,0,301.0,5.489,1.299,103.5,22.0,2022,1,1,7,18.41,1,1.029359112065879,0.5555555555555556,0.0040080359629233175,2.871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,11,28.0,23.3,36,0,295.0,7.02,1.544,102.588,22.0,2022,1,1,7,18.357,1,1.0202888172812985,0.6111111111111112,0.004366073914946034,2.8389999999999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13,12,27.9,23.2,37,0,302.0,1.787,1.587,102.505,22.0,2022,1,1,8,11.058,1,1.0194633408919123,0.6666666666666666,-0.009895771173966672,-3.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,13,27.8,23.1,37,0,303.0,4.104,0.656,104.752,22.0,2022,1,1,7,2.203000000000003,1,1.0418108763973426,0.7222222222222222,0.0215220591160441,-2.9159999999999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
